SCALED BULK SIGN ROW UNIT82 TERMINAL ORDER30 SLICE
python 3.12.6
python_flint 0.9.0
arb_bits 220
git_head 5af9e9c8b4f6b62b967552ffa01920fddf9194fc
unit slice3
config CWIN 3/2 beta_order 30 t_order 35 min_dt 1/100000 prec 220
beta_domain 1103/16 69
t_domain 3/5 717566321/230000000
dependency scripts/run_surface_g2_unit82_terminal_slice.py sha256 0bb37f799e1547ee1ef5964e67aea0bf2ad62546f031f7e5a02341c5c4a40cbe
dependency scripts/run_surface_scaled_bulk_cwin3p2_unit82_rescue_order30_slice.py sha256 823936a50539062514b4f5901add0f05d0bc3b3e35c4a1ec6c19fadab19c57b9
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
trow 96 71563667853/29440000000 143706902027/58880000000 upper [-1.5972905904398906160967458271384979479187221576883583031293750725456769451173757e-49 +/- 4.28e-129]
trow 97 143706902027/58880000000 36071617087/14720000000 upper [-7.3977812639054759381393177522869069676876981157766288877552975344215111307284299e-50 +/- 4.72e-130]
trow 98 36071617087/14720000000 144866034669/58880000000 upper [-3.4166275204146711198468901869564926484305224559952866720575576066268535106883713e-50 +/- 2.45e-130]
trow 99 144866034669/58880000000 14544560099/5888000000 upper [-1.5735295268803288065963589412798639983304757667111986941349719804158645417948976e-50 +/- 2.97e-130]
trow 100 14544560099/5888000000 146025167311/58880000000 upper [-7.2266218639797749412557065733876484851809330617628244195468971892035228580497036e-51 +/- 3.83e-131]
trow 101 146025167311/58880000000 2290698963/920000000 upper [-3.3096418013928073256597115590901860794974568983138399068895886933391201941560659e-51 +/- 4.28e-131]
trow 102 2290698963/920000000 147184299953/58880000000 upper [-1.5115201708178588671268770096741360899429477966355382675747163383166747303893379e-51 +/- 2.29e-131]
trow 103 147184299953/58880000000 73881933137/29440000000 upper [-6.8839270029173469833251262679114700189206767103492036582980515891103872579712435e-52 +/- 1.39e-132]
trow 104 73881933137/29440000000 29668686519/11776000000 upper [-3.1264391320555745993457848410295492485667914468837692864238631374667888504304583e-52 +/- 1.14e-132]
trow 105 29668686519/11776000000 37230749729/14720000000 upper [-1.4159802551807366849723976779078891180035069623829687974458387590253347852474184e-52 +/- 3.48e-132]
trow 106 37230749729/14720000000 149502565237/58880000000 upper [-6.3952940113276102477162599106727844264747839772624725996945719240209309278257258e-53 +/- 2.55e-133]
trow 107 149502565237/58880000000 75041065779/29440000000 upper [-2.8804540713735892170943602482442825766238150087613175403493472143468205861572481e-53 +/- 8.15e-134]
trow 108 75041065779/29440000000 150661697879/58880000000 upper [-1.2937819470868280144175908365962958145925030700582812139498348116910359602257285e-53 +/- 1.64e-134]
trow 109 150661697879/58880000000 756206321/294400000 upper [-5.7951273715245068490626973118455933357848612047716776714333329292672546430576587e-54 +/- 5.39e-135]
trow 110 756206321/294400000 151820830521/58880000000 upper [-2.5886225326875119837815987022442014813136399769062995297130219872108664005210114e-54 +/- 9.10e-135]
trow 111 151820830521/58880000000 76200198421/29440000000 upper [-1.1531355989479131771013719897249337462820222703032722427083754624517313855526944e-54 +/- 1.16e-134]
trow 112 76200198421/29440000000 152979963163/58880000000 upper [-5.1227130536619764895055334716773182641673498982432126395080276798624853065047878e-55 +/- 2.98e-135]
trow 113 152979963163/58880000000 38389882371/14720000000 upper [-2.2695008425688144043569680008154767857041911608720132392318913466245173400148768e-55 +/- 2.38e-135]
trow 114 38389882371/14720000000 30827819161/11776000000 upper [-1.0027028875271458027700606629138345678536509464891570716227003391941479377541579e-55 +/- 1.92e-135]
trow 115 30827819161/11776000000 77359331063/29440000000 upper [-4.4180274033974115556817785256030417799545195734974403265015694752986423156739645e-56 +/- 2.45e-136]
trow 116 77359331063/29440000000 6752096889/2560000000 upper [-1.9413366287159822483479645324597339454216694921779027538419795462160715969575860e-56 +/- 4.50e-136]
trow 117 6752096889/2560000000 9742362173/3680000000 upper [-8.5072984449227588709265773244757063047757013441795247698865414934336243074338786e-57 +/- 1.61e-137]
trow 118 9742362173/3680000000 156457361089/58880000000 upper [-3.7179449518388077603645064668935495181672339214024191992759239035347175604167412e-57 +/- 1.57e-137]
trow 119 156457361089/58880000000 15703692741/5888000000 upper [-1.6204567209996196659021402901229183895483047431075351686218273297974738063749225e-57 +/- 4.23e-137]
trow 120 15703692741/5888000000 157616493731/58880000000 upper [-7.0436205110644467666730303204817057982635436913858457960492358566858734197815065e-58 +/- 3.32e-138]
trow 121 157616493731/58880000000 39549015013/14720000000 upper [-3.0533821403200445550157420478985152313813975685577752139858309663304479100140165e-58 +/- 3.80e-138]
trow 122 39549015013/14720000000 158775626373/58880000000 upper [-1.3200644840642451542535123898941708486832861944800230753173167336902431642107691e-58 +/- 3.11e-138]
trow 123 158775626373/58880000000 79677596347/29440000000 upper [-5.6916737449535362140407533114782970821297987623112840711661250331199385614660914e-59 +/- 4.50e-141]
trow 124 79677596347/29440000000 31986951803/11776000000 upper [-2.4474761117559057245520882829536215150186275895401839564758756923710241816130556e-59 +/- 9.33e-140]
trow 125 31986951803/11776000000 20064290667/7360000000 upper [-1.0496181696940543638850591702655651620975537182670271746827722742732613339329982e-59 +/- 3.11e-139]
trow 126 20064290667/7360000000 161093891657/58880000000 upper [-4.4893276432551534877457625348088625130145435268637949902008324358470554971044427e-60 +/- 2.57e-140]
trow 127 161093891657/58880000000 80836728989/29440000000 upper [-1.9150072333619569543746509010715748927669053630502124031034790158785827544135772e-60 +/- 3.61e-140]
trow 128 80836728989/29440000000 162253024299/58880000000 upper [-8.1470577062502244578941515927010543848958592707424650178689067928848226384224557e-61 +/- 3.40e-141]
trow 129 162253024299/58880000000 8141629531/2944000000 upper [-3.4568076717732675470074264766030509875329045905804642199122469739851683113689539e-61 +/- 1.90e-143]
trow 130 8141629531/2944000000 163412156941/58880000000 upper [-1.4628317132053305973794763633642535464528147243643742071880905907516782139017116e-61 +/- 4.87e-142]
trow 131 163412156941/58880000000 81995861631/29440000000 upper [-6.1739196028909009857242701130506455222774532439819289649176497096794388570313974e-62 +/- 2.49e-142]
trow 132 81995861631/29440000000 164571289583/58880000000 upper [-2.5988253461926850375985091430061548052429612327948220825798963592615398941137701e-62 +/- 1.31e-142]
trow 133 164571289583/58880000000 5160964247/1840000000 upper [-1.0910522143031200874479970546300806025139650096261961959941648093439819594764997e-62 +/- 3.69e-142]
trow 134 5160964247/1840000000 6629216889/2355200000 upper [-4.5684300831821908795696530533188054670076044650546916387300347574619507253073038e-63 +/- 2.81e-143]
trow 135 6629216889/2355200000 83154994273/29440000000 upper [-1.9078495605107426932969032084215961247117212786345210568610283003732944724480837e-63 +/- 4.19e-143]
trow 136 83154994273/29440000000 166889554867/58880000000 upper [-7.9465577291550743068350401902357060571020715074370475321707924375342310769488298e-64 +/- 3.47e-144]
trow 137 166889554867/58880000000 41867280297/14720000000 upper [-3.3012204180919434012152479669571437522702506533240716755401150498988712948235200e-64 +/- 2.97e-144]
trow 138 41867280297/14720000000 168048687509/58880000000 upper [-1.3678271128245256481982364322020014192029060982767835100343993305412618781462502e-64 +/- 2.86e-144]
trow 139 168048687509/58880000000 733166321/256000000 upper [-5.6526460409883114520492906510900248712750845349910960387375168586102895131231303e-65 +/- 4.80e-145]
trow 140 733166321/256000000 169207820151/58880000000 upper [-2.3299055954798483259338527138927646624232934676003052807888143927575005401188342e-65 +/- 2.46e-145]
trow 141 169207820151/58880000000 21223423309/7360000000 upper [-9.5784150735483497297614044922390137593488799405909317694047101265273312443164587e-66 +/- 1.90e-146]
trow 142 21223423309/7360000000 170366952793/58880000000 upper [-3.9275189231861307503265666523793781174591074712599239138489966282581679556604161e-66 +/- 6.85e-147]
