SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head 2e3943f8c587a9e204a18d9ab4dcde2ebf9710f9
unit mid_cover_25_109_2_219_4
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 109/2 219/4
t_domain 3/5 2273362671/730000000
cache_entries 265
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 82 447999368793/186880000000 56229341433/23360000000 upper [-1.1829517408011747429835434448735116523974653126704789677843799734078284406308589e-39 +/- 2.09e-119]
trow 83 56229341433/23360000000 90334018827/37376000000 upper [-6.4696726598974205879579054956687649119050014437552367693952544564419167857675933e-40 +/- 8.34e-121]
trow 84 90334018827/37376000000 226752728403/93440000000 upper [-3.5300176069626397766979845789640819538628360291742101153255149447784709947498522e-40 +/- 1.78e-120]
trow 85 226752728403/93440000000 455340819477/186880000000 upper [-1.9215470303628857940080240619624622938379226748505811924424569713761870717657913e-40 +/- 4.84e-120]
trow 86 455340819477/186880000000 114294045537/46720000000 upper [-1.0435301245905116603745208983248140197106920787138601762384024501742305671094059e-40 +/- 4.47e-120]
trow 87 114294045537/46720000000 459011544819/186880000000 upper [-5.6537771042270428057951157493160196756653394931689586715959626131814737417544007e-41 +/- 3.37e-121]
trow 88 459011544819/186880000000 46084690749/18688000000 upper [-3.0559965736705077079591893490418644074960631395551383691698672965184739547392190e-41 +/- 1.75e-121]
trow 89 46084690749/18688000000 462682270161/186880000000 upper [-1.6479623681897479515946256865309918623290959869845481508136228623650689696077422e-41 +/- 4.44e-121]
trow 90 462682270161/186880000000 7258088013/2920000000 upper [-8.8658823849088865312166803302367416719648991289937878184968724241702531884040086e-42 +/- 4.17e-122]
trow 91 7258088013/2920000000 466352995503/186880000000 upper [-4.7585740870881872031504305519099314029674587808447057845983009078158771926171063e-42 +/- 2.77e-122]
trow 92 466352995503/186880000000 234094179087/93440000000 upper [-2.5480724714742489202071256269185217068477879245057711736722118717257889617644547e-42 +/- 2.38e-122]
trow 93 234094179087/93440000000 94004744169/37376000000 upper [-1.3612145656235439988184250044427090671867457421498649824774783467402553418641375e-42 +/- 4.71e-122]
trow 94 94004744169/37376000000 117964770879/46720000000 upper [-7.2547253942217243622808337690620648168441250983422452807956458280254475851372956e-43 +/- 4.47e-123]
trow 95 117964770879/46720000000 473694446187/186880000000 upper [-3.8573963301008137725524429400150058232552723528392834022314400687207204191518125e-43 +/- 2.04e-123]
trow 96 473694446187/186880000000 237764904429/93440000000 upper [-2.0461934072603327432489978208891275161003549266104611842851368143956961058225933e-43 +/- 4.74e-124]
trow 97 237764904429/93440000000 477365171529/186880000000 upper [-1.0828726022677194851103023364903987449635270653912791435142890807920058894011354e-43 +/- 7.13e-124]
trow 98 477365171529/186880000000 2396002671/934400000 upper [-5.7172298736645205575952589986847057178307565729037201071139324276800751015986455e-44 +/- 4.92e-124]
trow 99 2396002671/934400000 481035896871/186880000000 upper [-3.0114162738160950457849369702286946756405504218514480069901190911792349968690577e-44 +/- 2.30e-125]
trow 100 481035896871/186880000000 241435629771/93440000000 upper [-1.5824570361306570146425634773776673537577079223754238667036062109845595141490902e-44 +/- 4.84e-124]
trow 101 241435629771/93440000000 484706622213/186880000000 upper [-8.2959874217821580194161144629857118859438133583844774350033317957118201919064281e-45 +/- 2.60e-125]
trow 102 484706622213/186880000000 121635496221/46720000000 upper [-4.3388852281330627879365752592164632897602249086184464779968942527818934170614182e-45 +/- 3.88e-125]
