SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_63_63p25_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 63 253/4
t_domain 3/5 7888229531/2530000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 12 179964983903/161920000000 93167606717/80960000000 upper [-2.8372970995821871329799073228461622286267054738253222497247637664200500237970533e-17 +/- 3.65e-97]
trow 13 93167606717/80960000000 379040656399/323840000000 upper [-1.5062623786027316241374373559329334567242215894943818521418634892404284687942392e-16 +/- 3.50e-96]
trow 14 379040656399/323840000000 38541088593/32384000000 upper [-7.5938604083056559527550120628568406319793875263478467256480389786310577955467463e-17 +/- 4.48e-97]
trow 15 38541088593/32384000000 391781115461/323840000000 upper [-3.7787145484873332420270492432976640076074924587730470604087825248271844012674916e-17 +/- 9.77e-98]
trow 16 391781115461/323840000000 12442229531/10120000000 upper [-1.8558840551065421239195496352587810231299506894170954431654438798720209159004510e-17 +/- 4.55e-97]
trow 17 12442229531/10120000000 36774688593/29440000000 upper [-8.9967816963167734024118601538342622397877186829533456503445427592967222260297127e-18 +/- 4.65e-98]
trow 18 36774688593/29440000000 205445902027/161920000000 upper [-4.3048285748379112659065627144881682951897705505460541825240453580051585824022435e-18 +/- 3.42e-98]
trow 19 205445902027/161920000000 83452406717/64768000000 upper [-2.0330963800654330717636742892052942795178072667992764482812355545059688327452998e-18 +/- 1.15e-98]
trow 20 83452406717/64768000000 105908065779/80960000000 upper [-9.4774788607667191099468065702260982560460859168503122265509926838112688336982207e-19 +/- 2.62e-99]
trow 21 105908065779/80960000000 430002492647/323840000000 upper [-4.3607162830787254197363542496343335477719875281424706186033850693218514245998646e-19 +/- 8.44e-101]
trow 22 430002492647/323840000000 218186361089/161920000000 upper [-1.9803790058885595667428156571482956841890503991187786048360911472480273995891328e-19 +/- 2.02e-99]
trow 23 218186361089/161920000000 442742951709/323840000000 upper [-8.8768172290417569549453965570986296188206308566288831932788033345213332275467626e-20 +/- 5.00e-100]
trow 24 442742951709/323840000000 11227829531/8096000000 upper [-3.9271327156288502759028908006028454308060985907543204858234399158119491295663678e-20 +/- 3.63e-100]
trow 25 11227829531/8096000000 455483410771/323840000000 upper [-1.7147083476219523956815397008298815479206719448738617384801830137627758266177364e-20 +/- 2.26e-100]
trow 26 455483410771/323840000000 230926820151/161920000000 upper [-7.3890085429156708052352471077816715179618149914246710386413183441185587393868115e-21 +/- 4.17e-101]
trow 27 230926820151/161920000000 468223869833/323840000000 upper [-3.1422757133439730344421795452623813947825909230535401845149988593064907311526749e-21 +/- 4.82e-101]
trow 28 468223869833/323840000000 10786229531/7360000000 upper [-1.3186865115814702732641386225955531661393607638093608127395564759954411770588506e-21 +/- 3.26e-102]
trow 29 10786229531/7360000000 96192865779/64768000000 upper [-5.4607256661058267447585675714060473523206837462060103062912875144101344163007080e-22 +/- 1.85e-103]
trow 30 96192865779/64768000000 10594229531/7040000000 upper [-2.2311981294602871943239153661641999054114685617781536190580138675590835468886159e-22 +/- 2.27e-102]
trow 31 10594229531/7040000000 493704787957/323840000000 upper [-8.9942502696134627436393400368581353994403555033361663238301776989999821691025250e-23 +/- 2.55e-103]
trow 32 493704787957/323840000000 31254688593/20240000000 upper [-3.5767200233882812598969886296032978941694479781667535309427956797961606643460376e-23 +/- 4.41e-103]
trow 33 31254688593/20240000000 506445247019/323840000000 upper [-1.4029537069066232276999745523570283715091266805271912109456543483807261661479040e-23 +/- 3.46e-103]
trow 34 506445247019/323840000000 10256309531/6476800000 upper [-5.4272017994023097974290924614744231791520378693411877932922822253782909320158407e-24 +/- 4.32e-104]
trow 35 10256309531/6476800000 519185706081/323840000000 upper [-2.0701656197381569572398000377679532360201633931755153786065837710529298089773696e-24 +/- 4.35e-104]
trow 36 519185706081/323840000000 131388983903/80960000000 upper [-7.7846663759331191728250960755028300315707534348470888527383352447902009017910054e-25 +/- 9.67e-106]
trow 37 131388983903/80960000000 531926165143/323840000000 upper [-2.8851737464798850982328837106315957503709858635653404636644272435985430765562266e-25 +/- 4.41e-105]
trow 38 531926165143/323840000000 269148197337/161920000000 upper [-1.0535893100153530427100690538337745696690893362957133268156024234026187249818932e-25 +/- 8.69e-107]
trow 39 269148197337/161920000000 9903029531/5888000000 upper [-3.7894761390705397392693676152537891708538143221469327938098430507347357493945869e-26 +/- 3.74e-106]
trow 40 9903029531/5888000000 68879606717/40480000000 upper [-1.3418541830178805746614071630644080066590220928875277468457463097335604765406255e-26 +/- 3.38e-106]
trow 41 68879606717/40480000000 557407083267/323840000000 upper [-4.6753358067164026858562446080178872392971624562323183990890595585520421159426206e-27 +/- 3.44e-107]
trow 42 557407083267/323840000000 281888656399/161920000000 upper [-1.6018053499772554711809737335695498281437980759994319920816582809003105797937265e-27 +/- 4.36e-108]
trow 43 281888656399/161920000000 570147542329/323840000000 upper [-5.3917400273900940233702666237191824655230108288224885966601612187671262186736744e-28 +/- 9.28e-109]
