SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_62p75_63_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 251/4 63
t_domain 3/5 654734467/210000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 100 26014375279/10752000000 21766768477/8960000000 upper [-1.6466988014675131474050213728504717549108396049740579414778602378637481274755485e-45 +/- 1.58e-125]
trow 101 21766768477/8960000000 131129345329/53760000000 upper [-8.1250017516118011550940269254332691525349376651058791037623937185836693591510967e-46 +/- 4.59e-126]
trow 102 131129345329/53760000000 32914519949/13440000000 upper [-3.9977416857844501863798323807089046787314407590187553463087967328371282969732492e-46 +/- 2.55e-126]
trow 103 32914519949/13440000000 6294610203/2560000000 upper [-1.9614896209606901981257266256849455464679678355710298641993479989857612887017659e-46 +/- 2.94e-126]
trow 104 6294610203/2560000000 13271554873/5376000000 upper [-9.5969933971133786061539663557326823491160065463939336101230470675701562108228245e-47 +/- 3.38e-127]
trow 105 13271554873/5376000000 133244283197/53760000000 upper [-4.6823072478951335981334179468546535139536131427676123509794397327501343252535087e-47 +/- 3.15e-127]
trow 106 133244283197/53760000000 696734467/280000000 upper [-2.2780201615908998825157520252023308295479703454502384698966430723620634270499255e-47 +/- 3.29e-127]
trow 107 696734467/280000000 134301752131/53760000000 upper [-1.1051603760823965923533702189381595120894451170753813077868401739623192794454760e-47 +/- 2.46e-127]
trow 108 134301752131/53760000000 67415243299/26880000000 upper [-5.3463828239827808017551109304710764719048072834082799746206190401350370676467475e-48 +/- 3.24e-128]
trow 109 67415243299/26880000000 9023948071/3584000000 upper [-2.5790418787928412717237297686397033438216025760608172414842176656257989048320919e-48 +/- 1.85e-128]
trow 110 9023948071/3584000000 4853141269/1920000000 upper [-1.2405567107830967602754450853848543249978379771592761653520554925206076221592721e-48 +/- 3.78e-128]
trow 111 4853141269/1920000000 136416689999/53760000000 upper [-5.9501884252691525030540610670193444026455078216788391701612897044841600405903694e-49 +/- 5.76e-130]
trow 112 136416689999/53760000000 22824237411/8960000000 upper [-2.8457468474272780073844273008686553289090489491624917311307084326697395498194707e-49 +/- 4.48e-130]
trow 113 22824237411/8960000000 137474158933/53760000000 upper [-1.3570894560434972835141375655812013528139319404417173113181993579738773318364690e-49 +/- 3.38e-129]
trow 114 137474158933/53760000000 690014467/268800000 upper [-6.4530067215612098455038869411146563902976810824447282389226194846195482827728450e-50 +/- 2.25e-130]
trow 115 690014467/268800000 46177209289/17920000000 upper [-3.0595075767908772705605384611454492067446338614674903814075948915102527832887603e-50 +/- 5.50e-131]
trow 116 46177209289/17920000000 69530181167/26880000000 upper [-1.4463404593171284125125690554464157212643417076943391073788822697738449141354116e-50 +/- 4.27e-130]
trow 117 69530181167/26880000000 19941299543/7680000000 upper [-6.8172997312680439539173064524491145258078177591794868783232669985204967256972010e-51 +/- 4.71e-131]
trow 118 19941299543/7680000000 11676485939/4480000000 upper [-3.2038324233233503018994896047246292205960485038765403015852579383148993526177002e-51 +/- 1.48e-131]
trow 119 11676485939/4480000000 28129313147/10752000000 upper [-1.5011896663689297912422690553680805668425908634878783895256631221088514680477485e-51 +/- 4.14e-131]
