SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head 2e3943f8c587a9e204a18d9ab4dcde2ebf9710f9
unit mid_cover_26_219_4_55
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 219/4 55
t_domain 3/5 342575197/110000000
cache_entries 267
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 45 5285077561/2816000000 1213725591/640000000 upper [-6.8649349699905634496663329081170199792944604634541565152817686635237724981170998e-28 +/- 2.29e-108]
trow 46 1213725591/640000000 26978538199/14080000000 upper [-2.4931360203930552667161553220543418377546588309783269624579413194261062636335949e-28 +/- 3.40e-108]
trow 47 26978538199/14080000000 6813778349/3520000000 upper [-8.9249730935562321611829815999711662858196091914326298483428902010145086668506700e-29 +/- 4.13e-109]
trow 48 6813778349/3520000000 27531688593/14080000000 upper [-3.1471597938599929942300015605355417096492333740197979437878345598286383492991256e-29 +/- 2.63e-109]
trow 49 27531688593/14080000000 2780826379/1408000000 upper [-1.0922087842089950722784227252477680481488854486636123235835169667801066406908443e-29 +/- 9.91e-110]
trow 50 2780826379/1408000000 28084838987/14080000000 upper [-3.7263758946896685882297097441937209152943443398231409626091594552366542034600742e-30 +/- 1.25e-110]
trow 51 28084838987/14080000000 3545176773/1760000000 upper [-1.2480439097124646439395509462892359853795332295347540060762334899947849851294394e-30 +/- 2.70e-110]
trow 52 3545176773/1760000000 28637989381/14080000000 upper [-4.0953890521510564825646858948285543654458046155450690133957904850232093759984411e-31 +/- 5.73e-112]
trow 53 28637989381/14080000000 14457282289/7040000000 upper [-1.3131650854146387548424175852531084707234405319629005500631960978334059300032909e-31 +/- 1.95e-111]
trow 54 14457282289/7040000000 1167645591/563200000 upper [-4.0986759186490975570246894789470826712091330021668071880760300627979833154398332e-32 +/- 2.20e-112]
trow 55 1167645591/563200000 7366928743/3520000000 upper [-1.2381749920970220529065220228677922942173253100585575160627934977929860526010663e-32 +/- 1.06e-112]
trow 56 7366928743/3520000000 2704026379/1280000000 upper [-3.5871877284015911768517034513233322001327739680859930591288030382696001740051186e-33 +/- 3.07e-113]
