SCALED BULK SIGN ROW UNIT82 TERMINAL ORDER30 SLICE
python 3.12.6
python_flint 0.9.0
arb_bits 220
git_head 5af9e9c8b4f6b62b967552ffa01920fddf9194fc
unit slice2
config CWIN 3/2 beta_order 30 t_order 35 min_dt 1/100000 prec 220
beta_domain 1101/16 1103/16
t_domain 3/5 34411767481/11030000000
dependency scripts/run_surface_g2_unit82_terminal_slice.py sha256 0bb37f799e1547ee1ef5964e67aea0bf2ad62546f031f7e5a02341c5c4a40cbe
dependency scripts/run_surface_scaled_bulk_cwin3p2_unit82_rescue_order30_slice.py sha256 823936a50539062514b4f5901add0f05d0bc3b3e35c4a1ec6c19fadab19c57b9
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
trow 12 784870977253/705920000000 1597535721987/1411840000000 upper [-8.3142089389933679246186407791806171882510665489355929699691922617131624815688882e-17 +/- 3.60e-97]
trow 13 1597535721987/1411840000000 406332372367/352960000000 upper [-4.0346115375300663428044352046237978746813856397535943370258359836542405304167845e-17 +/- 2.35e-97]
trow 14 406332372367/352960000000 1653123256949/1411840000000 upper [-1.9302811757055202181750250874069446379384882837808602204125635241063410002919557e-17 +/- 3.97e-98]
trow 15 1653123256949/1411840000000 168091702443/141184000000 upper [-9.1051565339508712465630379397220189881882509854488507931112742254589892641416267e-18 +/- 1.39e-98]
trow 16 168091702443/141184000000 1708710791911/1411840000000 upper [-4.2345853474964534900136290571564679889099338870290719114188705446582941340267674e-18 +/- 1.06e-98]
trow 17 1708710791911/1411840000000 54265767481/44120000000 upper [-1.9417723590377396408068759006471369409668326276657073117214948164203870904010185e-18 +/- 4.99e-99]
trow 18 54265767481/44120000000 1764298326873/1411840000000 upper [-8.7792139024866897749712211823758991712769078128159126545016781471800210837465279e-19 +/- 4.77e-99]
trow 19 1764298326873/1411840000000 896046047177/705920000000 upper [-3.9137021007084036350047057503413596402313264077113183579086946443325199653019928e-19 +/- 4.07e-100]
trow 20 896046047177/705920000000 363977172367/282368000000 upper [-1.7202706533114209447838974920997158371537078004880566781004259754183141943893081e-19 +/- 3.42e-99]
trow 21 363977172367/282368000000 461919907329/352960000000 upper [-7.4556310910521241164827943525335895994474506657140248895114718295901689037819436e-20 +/- 4.18e-100]
