SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head c2f03caa5af73629f584b41c756dd4a43b243b23
unit mid_cover_08_201_4_101_2
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 201/4 101/2
t_domain 3/5 3143008627/1010000000
cache_entries 257
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 110 715814906567/258560000000 359175957597/129280000000 upper [-9.4730071527866079158709695071471341654742306428575102727018262596302136929031947e-47 +/- 3.53e-127]
trow 111 359175957597/129280000000 720888923821/258560000000 upper [-5.0183921039764618138810095067246105108306238999581807315769960114787238152391129e-47 +/- 9.46e-128]
trow 112 720888923821/258560000000 22607060389/8080000000 upper [-2.6527258948949278831661553202688249920375566107778087122575991954827970328363848e-47 +/- 1.67e-127]
trow 113 22607060389/8080000000 29038517643/10342400000 upper [-1.3991632777476069711327119568252666200306738601476257649519147348400085216813408e-47 +/- 8.88e-128]
trow 114 29038517643/10342400000 364249974851/129280000000 upper [-7.3635895970284059855011634933468691657600399973881361997528598043791524099719616e-48 +/- 1.92e-128]
trow 115 364249974851/129280000000 731036958329/258560000000 upper [-3.8668026088895858148394911130417246675060434273914449445969213050042120771440586e-48 +/- 3.04e-128]
trow 116 731036958329/258560000000 183393491739/64640000000 upper [-2.0260641009974139859038635946722846296870518218497868581287761563570897897423549e-48 +/- 3.48e-128]
trow 117 183393491739/64640000000 736110975583/258560000000 upper [-1.0592260034645608888334159551997724726986277714053466326457838090115545101906735e-48 +/- 1.76e-128]
trow 118 736110975583/258560000000 73864798421/25856000000 upper [-5.5252767643439961024808154124994984669010036014652708975439068179653178577939475e-49 +/- 6.20e-130]
trow 119 73864798421/25856000000 741184992837/258560000000 upper [-2.8757078095561575749831424522806642905948185428532849149705795897610934834228198e-49 +/- 4.21e-129]
trow 120 741184992837/258560000000 92965250183/32320000000 upper [-1.4933298856447213943846900223848121057273501524065107311126532224878070347268698e-49 +/- 3.60e-129]
