SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head bc5b6375cf9744e2b0e2cbfd033b86bdc9facfaf
unit codex-mid24-48p5-48p75-20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 97/2 195/4
t_domain 3/5 404407051/130000000
cache_entries 261
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 94 8851348071/3328000000 88839887761/33280000000 upper [-2.0466630810676629228480653952317130442296644700873138309241528734826559207566844e-42 +/- 9.48e-123]
trow 95 88839887761/33280000000 22291573703/8320000000 upper [-1.1357050074126193110436274721358711332554395198497667990191361881793468113432057e-42 +/- 2.44e-123]
trow 96 22291573703/8320000000 89492701863/33280000000 upper [-6.2892068772252414299969777205093160424098122747604489399081532555612847713374025e-43 +/- 1.22e-123]
trow 97 89492701863/33280000000 44909554457/16640000000 upper [-3.4756567270521118619130876097233479549387652254082732471689061181228350215795622e-43 +/- 8.76e-124]
trow 98 44909554457/16640000000 18029103193/6656000000 upper [-1.9168470814253544996865025825709742573897897860998263368078554743547721600728840e-43 +/- 3.96e-123]
trow 99 18029103193/6656000000 11308990377/4160000000 upper [-1.0549890296249357028104405873153652909070280566789178316089073754301522677689964e-43 +/- 9.94e-124]
trow 100 11308990377/4160000000 90798330067/33280000000 upper [-5.7945137797823777812418706249949076476740078857648657328344319310935192182667161e-44 +/- 3.88e-124]
trow 101 90798330067/33280000000 45562368559/16640000000 upper [-3.1760968647187081166365369642091877141952696687171591270431640989168020048887447e-44 +/- 3.14e-124]
trow 102 45562368559/16640000000 91451144169/33280000000 upper [-1.7373093728575618333546008027481986210455544362582616396749751487519009775212966e-44 +/- 4.67e-124]
trow 103 91451144169/33280000000 4588877561/1664000000 upper [-9.4834450739569812698089983844281635796771233366997153854127573669740394194640031e-45 +/- 5.15e-126]
trow 104 4588877561/1664000000 7084919867/2560000000 upper [-5.1660533215760853901760990074558522655084636491071941408401946808212432123088894e-45 +/- 4.17e-125]
trow 105 7084919867/2560000000 46215182661/16640000000 upper [-2.8083749025694587177803725546111866588607974464563678616332207288466708818826573e-45 +/- 2.62e-126]
trow 106 46215182661/16640000000 92756772373/33280000000 upper [-1.5235358155084636896611526336897496395317197654408527205415242768081570622724048e-45 +/- 8.27e-126]
trow 107 92756772373/33280000000 2908849357/1040000000 upper [-8.2480243093216158674332603858926625911242985443008577607061605019380611750827364e-46 +/- 2.53e-126]
trow 108 2908849357/1040000000 3736383459/1331200000 upper [-4.4559983330016405803705335425172878922200745349183356994627781398974264990567288e-46 +/- 3.13e-126]
trow 109 3736383459/1331200000 46867996763/16640000000 upper [-2.4023478952887863464632101800126640969609012019127145540152234726379941103214359e-46 +/- 2.84e-126]
trow 110 46867996763/16640000000 94062400577/33280000000 upper [-1.2924696590781368039387064472662677519731544276606996122761881353601144326502142e-46 +/- 2.22e-126]
trow 111 94062400577/33280000000 23597201907/8320000000 upper [-6.9389757498094925799425747467521184590998539983224660564840629989793108280183943e-47 +/- 1.36e-127]
trow 112 23597201907/8320000000 94715214679/33280000000 upper [-3.7175731262274439280121024261946451044673902158956152476892005419150616502857001e-47 +/- 2.65e-129]
trow 113 94715214679/33280000000 9504162173/3328000000 upper [-1.9875101111481998784644071424646099543903824609834688928955977373053398971066166e-47 +/- 4.98e-127]
trow 114 9504162173/3328000000 95368028781/33280000000 upper [-1.0603315019577669483957755513515871404378602433873994806278042624645708769961243e-47 +/- 3.47e-127]
trow 115 95368028781/33280000000 11961804479/4160000000 upper [-5.6448587753103740582046863102603438760478773934118786329170152545621153306115956e-48 +/- 2.08e-128]
trow 116 11961804479/4160000000 96020842883/33280000000 upper [-2.9987468856882968226540375217919554084423773918464182619948210212393178120652913e-48 +/- 1.09e-128]
trow 117 96020842883/33280000000 3705663459/1280000000 upper [-1.5896361905279461759477668567701577104948133201775920338655748638814314195108921e-48 +/- 1.26e-129]
trow 118 3705663459/1280000000 19334731397/6656000000 upper [-8.4085715166880922644012138112703578025079619156458538446754704562458829199725402e-49 +/- 1.04e-129]
trow 119 19334731397/6656000000 24250016009/8320000000 upper [-4.4382038926327107366282468378540013137853393132613975753592607060902955230116624e-49 +/- 1.85e-129]
